Chemical.ID	Chemical.Name	pathway	parent	uniqueID	readout	curvep_wauc	curvep_pod	curvep_remark	curvep_n_corrections	curvep_mask	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	curvep_r0	curvep_r1	curvep_r2	curvep_r3	curvep_r4	curvep_r5
N42	39	TOG		N42	luc.a	-10.9608782	-4.21065149	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.269823272	5.669548246	-0.076312001	-3.805693824	-13.2316366	-25.12010436	0	0	0	0	0	-25.1201044
N43	40	TOG		N43	luc.a	-139.838165	-4.92419514	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.656249782	3.371713414	0.026418301	-6.061580015	-94.4110783	-93.48101564	0	0	0	0	-94.4110783	-93.4810156
N44	41	TOG		N44	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.447679002	3.558849083	-7.372258917	-1.719133876	-4.855562154	-4.783797258	0	0	0	0	0	0
N45	42	TOG		N45	luc.a	-170.164062	-5.66926761	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-11.37158265	-11.58314147	-21.63930434	-33.83536232	-43.71032669	-99.95492035	0	0	-21.6393043	-33.8353623	-43.7103267	-99.9549203
N46	43	TOG		N46	luc.a	-143.445906	-4.92467819	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.064901135	2.517550292	-6.468557807	0.345618669	-95.01655931	-99.36556406	0	0	0	0	-95.0165593	-99.3655641
N47	44	TOG		N47	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.506739503	-0.027492697	6.995351616	-3.708348017	-9.393053797	-9.350771731	0	0	0	0	0	0
N48	45	TOG		N48	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.179195734	2.203430838	1.995507061	2.517136085	-9.656450003	-8.469625308	0	0	0	0	0	0
N49	46	TOG		N49	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.964976206	2.958193022	9.754280344	3.425301049	-11.5990095	-13.64318452	0	0	0	0	0	0
N5	47	TOG		N5	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.327100313	4.151560056	0.053413427	-0.849677955	-8.460960133	-5.803876775	0	0	0	0	0	0
N50	48	TOG		N50	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.281738043	6.326629782	5.628351311	4.142172284	-6.249180521	-6.73009397	0	0	0	0	0	0
N51	49	TOG		N51	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	6.379304349	8.102354298	0.795526178	-2.509901377	-3.581954699	-11.96338866	0	0	0	0	0	0
N52	50	TOG		N52	luc.a	0	-4	NOISY	1	0 1 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.019094773	-19.30393818	0.319359857	-1.22798449	-0.321382715	-2.156680082	0	0	0	0	0	0
N53	51	TOG		N53	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.178966565	2.841012238	2.50866766	-4.850321592	-4.99090578	-4.888539264	0	0	0	0	0	0
N54	52	TOG		N54	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.738467322	4.621754703	-1.280075509	1.04220587	-6.176081106	-7.291433208	0	0	0	0	0	0
N55	53	TOG		N55	luc.a	0	-4	NOISY	1	0 0 0 0 1 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.360259835	5.370779062	2.913548039	-3.301474455	-24.72151992	-7.311434969	0	0	0	0	0	0
N56	54	TOG		N56	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.568364637	1.831112688	1.620732655	1.068647927	-5.613468612	-4.929827585	0	0	0	0	0	0
N57	55	TOG		N57	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.852550851	1.709332116	1.219257671	4.614953465	-0.600122136	-6.257524108	0	0	0	0	0	0
N58	56	TOG		N58	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.035693752	-4.912207944	3.673628258	-8.849671656	-7.293038704	-12.9652934	0	0	0	0	0	0
N59	57	TOG		N59	luc.a	-11.5899556	-4.22648794	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.187153516	3.851912202	2.053755349	-1.036411907	-10.48160309	-26.46229599	0	0	0	0	0	-26.462296
N6_1	58	TOG		N6_1	luc.a	0	-4	OK	0	0 0 0 0 0 0	-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.20637903	2.475284118	-2.643711758	-3.040048988	-8.490045576	-3.225217102	0	0	0	0	0	0
