Chemical.ID	Chemical.Name	pathway	parent	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	uniqueID	readout
N4	36	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.446422149	0.20216322	-0.399090819	-2.597311725	-7.99833836	-2.278807996	N4	luc.a
N40	37	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.000236687	2.949956809	4.5636096	2.385852733	-6.086756621	-4.768549256	N40	luc.a
N41	38	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.876630176	4.719832341	-1.75109498	3.483715763	-17.56972158	-28.78340987	N41	luc.a
N42	39	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.269823272	5.669548246	-0.076312001	-3.805693824	-13.2316366	-25.12010436	N42	luc.a
N43	40	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.656249782	3.371713414	0.026418301	-6.061580015	-94.4110783	-93.48101564	N43	luc.a
N44	41	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.447679002	3.558849083	-7.372258917	-1.719133876	-4.855562154	-4.783797258	N44	luc.a
N45	42	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-11.37158265	-11.58314147	-21.63930434	-33.83536232	-43.71032669	-99.95492035	N45	luc.a
N46	43	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.064901135	2.517550292	-6.468557807	0.345618669	-95.01655931	-99.36556406	N46	luc.a
N47	44	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.506739503	-0.027492697	6.995351616	-3.708348017	-9.393053797	-9.350771731	N47	luc.a
N48	45	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.179195734	2.203430838	1.995507061	2.517136085	-9.656450003	-8.469625308	N48	luc.a
N49	46	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.964976206	2.958193022	9.754280344	3.425301049	-11.5990095	-13.64318452	N49	luc.a
N5	47	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.327100313	4.151560056	0.053413427	-0.849677955	-8.460960133	-5.803876775	N5	luc.a
N50	48	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.281738043	6.326629782	5.628351311	4.142172284	-6.249180521	-6.73009397	N50	luc.a
